,Date,Tm,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
53,2021/3/24,HOU,CHO,L 97-122,240,33,86,0.384,17,37,0.459,16,49,0.327,15,22,0.682,97,41,80,0.513,23,42,0.548,18,38,0.474,22,29,0.759,122
54,2021/3/24,DET,IND,L 111-116,240,44,83,0.53,33,55,0.6,11,28,0.393,12,19,0.632,111,45,97,0.464,30,63,0.476,15,34,0.441,11,14,0.786,116
55,2021/3/24,IND,DET,W 116-111,240,45,97,0.464,30,63,0.476,15,34,0.441,11,14,0.786,116,44,83,0.53,33,55,0.6,11,28,0.393,12,19,0.632,111
56,2021/3/24,BOS,MIL,L 119-121,240,45,94,0.479,26,47,0.553,19,47,0.404,10,10,1,119,45,90,0.5,28,53,0.528,17,37,0.459,14,20,0.7,121
57,2021/3/24,MIL,BOS,W 121-119,240,45,90,0.5,28,53,0.528,17,37,0.459,14,20,0.7,121,45,94,0.479,26,47,0.553,19,47,0.404,10,10,1,119
58,2021/3/24,DAL,MIN,W 128-108,240,48,99,0.485,32,55,0.582,16,44,0.364,16,22,0.727,128,38,86,0.442,26,48,0.542,12,38,0.316,20,26,0.769,108
59,2021/3/24,MIN,DAL,L 108-128,240,38,86,0.442,26,48,0.542,12,38,0.316,20,26,0.769,108,48,99,0.485,32,55,0.582,16,44,0.364,16,22,0.727,128
60,2021/3/24,MEM,OKC,W 116-107,240,47,99,0.475,36,69,0.522,11,30,0.367,11,13,0.846,116,43,95,0.453,33,60,0.55,10,35,0.286,11,17,0.647,107
61,2021/3/24,OKC,MEM,L 107-116,240,43,95,0.453,33,60,0.55,10,35,0.286,11,17,0.647,107,47,99,0.475,36,69,0.522,11,30,0.367,11,13,0.846,116
62,2021/3/24,ORL,PHO,W 112-111,240,42,90,0.467,29,53,0.547,13,37,0.351,15,19,0.789,112,40,90,0.444,29,57,0.509,11,33,0.333,20,22,0.909,111
63,2021/3/24,PHO,ORL,L 111-112,240,40,90,0.444,29,57,0.509,11,33,0.333,20,22,0.909,111,42,90,0.467,29,53,0.547,13,37,0.351,15,19,0.789,112
64,2021/3/24,ATL,SAC,L 108-110,240,41,85,0.482,34,60,0.567,7,25,0.28,19,23,0.826,108,40,84,0.476,30,54,0.556,10,30,0.333,20,22,0.909,110
65,2021/3/24,SAC,ATL,W 110-108,240,40,84,0.476,30,54,0.556,10,30,0.333,20,22,0.909,110,41,85,0.482,34,60,0.567,7,25,0.28,19,23,0.826,108
66,2021/3/24,LAC,SAS,W 134-101,240,49,88,0.557,32,55,0.582,17,33,0.515,19,30,0.633,134,39,85,0.459,32,63,0.508,7,22,0.318,16,19,0.842,101
